Category ,department,Year,MHT_CET_Percentile,Collage_name
OPEN,Computer Engineering,2022,89.95,DrDYPatil College Of Engineering and InnovationTalegaon
OPEN,Computer Engineering,2022,89.95,DrDYPatil College Of Engineering and InnovationTalegaon
OPEN,Computer Engineering,2022,89.95,DrDYPatil College Of Engineering and InnovationTalegaon
OPEN,Computer Engineering,2022,89.95,DrDYPatil College Of Engineering and InnovationTalegaon
OBC ,Computer Engineering,2022,87.8,DrDYPatil College Of Engineering and InnovationTalegaon
OBC,Computer Engineering,2022,87.8,DrDYPatil College Of Engineering and InnovationTalegaon 
OBC,Computer Engineering,2022,87.8,DrDYPatil College Of Engineering and InnovationTalegaon
OPEN,Computer Engineering,2022,89.95,DrDYPatil College Of Engineering and InnovationTalegaon
OPEN,Computer Engineering,2022,89.95,DrDYPatil College Of Engineering and InnovationTalegaon
OPEN,Computer Engineering,2022,89.95,DrDYPatil College Of Engineering and InnovationTalegaon
OBC,Computer Engineering,2022,87.8,DrDYPatil College Of Engineering and InnovationTalegaon
OBC ,Computer Engineering,2022,87.8,DrDYPatil College Of Engineering and InnovationTalegaon
OBC,Computer Engineering,2022,87.8,DrDYPatil College Of Engineering and InnovationTalegaon
OBC,Computer Engineering,2022,87.8,DrDYPatil College Of Engineering and InnovationTalegaon
OBC,Computer Engineering,2022,87.8,DrDYPatil College Of Engineering and InnovationTalegaon
NT 1 (NT-B) ,Computer Engineering,2022,85.56,DrDYPatil College Of Engineering and InnovationTalegaon
OBC,Computer Engineering,2022,87.8,DrDYPatil College Of Engineering and InnovationTalegaon
OPEN,Computer Engineering,2022,89.95,DrDYPatil College Of Engineering and InnovationTalegaon
OPEN,Computer Engineering,2022,89.95,DrDYPatil College Of Engineering and InnovationTalegaon
OPEN,Computer Engineering,2022,89.95,DrDYPatil College Of Engineering and InnovationTalegaon
NT 1 (NT-B) ,Computer Engineering,2022,85.56,DrDYPatil College Of Engineering and InnovationTalegaon
OBC,Computer Engineering,2022,87.8,DrDYPatil College Of Engineering and InnovationTalegaon
OBC,Computer Engineering,2022,87.8,DrDYPatil College Of Engineering and InnovationTalegaon
OBC,Computer Engineering,2022,87.8,DrDYPatil College Of Engineering and InnovationTalegaon
OPEN,Computer Engineering,2022,89.95,DrDYPatil College Of Engineering and InnovationTalegaon
OBC,Computer Engineering,2022,87.8,DrDYPatil College Of Engineering and InnovationTalegaon
OPEN,Computer Engineering,2022,89.95,DrDYPatil College Of Engineering and InnovationTalegaon
OPEN,Computer Engineering,2022,89.95,DrDYPatil College Of Engineering and InnovationTalegaon
OPEN,Computer Engineering,2022,89.95,DrDYPatil College Of Engineering and InnovationTalegaon
OPEN,Computer Engineering,2022,89.95,DrDYPatil College Of Engineering and InnovationTalegaon
OPEN,Computer Engineering,2022,89.95,DrDYPatil College Of Engineering and InnovationTalegaon
SC,Computer Engineering,2022,81.82,DrDYPatil College Of Engineering and InnovationTalegaon
OBC,Computer Engineering,2022,87.8,DrDYPatil College Of Engineering and InnovationTalegaon
OBC,Computer Engineering,2022,87.8,DrDYPatil College Of Engineering and InnovationTalegaon
NT 2 (NT-C),Computer Engineering,2022,84.61,DrDYPatil College Of Engineering and InnovationTalegaon
OBC,Computer Engineering,2022,87.8,DrDYPatil College Of Engineering and InnovationTalegaon
OBC ,Computer Engineering,2022,87.8,DrDYPatil College Of Engineering and InnovationTalegaon
OBC,Computer Engineering,2022,87.8,DrDYPatil College Of Engineering and InnovationTalegaon
OBC,Computer Engineering,2022,87.8,DrDYPatil College Of Engineering and InnovationTalegaon
OBC ,Computer Engineering,2022,87.8,DrDYPatil College Of Engineering and InnovationTalegaon
OBC,Computer Engineering,2022,87.8,DrDYPatil College Of Engineering and InnovationTalegaon
OBC,Computer Engineering,2022,87.8,DrDYPatil College Of Engineering and InnovationTalegaon
NT 2 (NT-C),Computer Engineering,2022,84.61,DrDYPatil College Of Engineering and InnovationTalegaon
OBC,Computer Engineering,2022,87.8,DrDYPatil College Of Engineering and InnovationTalegaon
NT 3 (NT-D),Computer Engineering,2022,83.17,DrDYPatil College Of Engineering and InnovationTalegaon
OBC,Computer Engineering,2022,87.8,DrDYPatil College Of Engineering and InnovationTalegaon
OBC,Computer Engineering,2022,87.8,DrDYPatil College Of Engineering and InnovationTalegaon
OBC,Computer Engineering,2022,87.8,DrDYPatil College Of Engineering and InnovationTalegaon
OBC,Computer Engineering,2022,87.8,DrDYPatil College Of Engineering and InnovationTalegaon
SC,Computer Engineering,2022,81.82,DrDYPatil College Of Engineering and InnovationTalegaon
NT 1 (NT-B),Computer Engineering,2022,85.56,DrDYPatil College Of Engineering and InnovationTalegaon
SC,Computer Engineering,2022,81.82,DrDYPatil College Of Engineering and InnovationTalegaon
SC,Computer Engineering,2022,81.82,DrDYPatil College Of Engineering and InnovationTalegaon
SC,Computer Engineering,2022,81.82,DrDYPatil College Of Engineering and InnovationTalegaon
SC,Computer Engineering,2022,81.82,DrDYPatil College Of Engineering and InnovationTalegaon
NT 1 (NT-B),Computer Engineering,2022,85.56,DrDYPatil College Of Engineering and InnovationTalegaon
NT 2 (NT-C),Computer Engineering,2022,84.61,DrDYPatil College Of Engineering and InnovationTalegaon
SC,Computer Engineering,2022,81.82,DrDYPatil College Of Engineering and InnovationTalegaon
SC,Computer Engineering,2022,81.82,DrDYPatil College Of Engineering and InnovationTalegaon
SC,Computer Engineering,2022,81.82,DrDYPatil College Of Engineering and InnovationTalegaon
OPEN,Civil Engineering,2022,90.47,JSPM's Imperial College of Engineering and Research Wagholi Pune
OPEN,Civil Engineering,2022,90.47,JSPM's Imperial College of Engineering and Research Wagholi Pune
OPEN,Civil Engineering,2022,90.47,JSPM's Imperial College of Engineering and Research Wagholi Pune
OPEN,Civil Engineering,2022,90.47,JSPM's Imperial College of Engineering and Research Wagholi Pune
OBC,Civil Engineering,2022,87.91,JSPM's Imperial College of Engineering and Research Wagholi Pune
OPEN,Civil Engineering,2022,90.47,JSPM's Imperial College of Engineering and Research Wagholi Pune
OPEN,Civil Engineering,2022,90.47,JSPM's Imperial College of Engineering and Research Wagholi Pune
SC,Civil Engineering,2022,75.22,JSPM's Imperial College of Engineering and Research Wagholi Pune
OPEN,Civil Engineering,2022,90.47,JSPM's Imperial College of Engineering and Research Wagholi Pune
OBC ,Civil Engineering,2022,87.91,JSPM's Imperial College of Engineering and Research Wagholi Pune
OPEN,Civil Engineering,2022,90.47,JSPM's Imperial College of Engineering and Research Wagholi Pune
SC,Civil Engineering,2022,75.22,JSPM's Imperial College of Engineering and Research Wagholi Pune
NT 1 (NT-B) ,Civil Engineering,2022,85.4,JSPM's Imperial College of Engineering and Research Wagholi Pune
OBC,Civil Engineering,2022,87.91,JSPM's Imperial College of Engineering and Research Wagholi Pune
OPEN,Civil Engineering,2022,90.47,JSPM's Imperial College of Engineering and Research Wagholi Pune
OBC,Civil Engineering,2022,87.91,JSPM's Imperial College of Engineering and Research Wagholi Pune
OBC,Civil Engineering,2022,87.91,JSPM's Imperial College of Engineering and Research Wagholi Pune
OBC,Civil Engineering,2022,87.91,JSPM's Imperial College of Engineering and Research Wagholi Pune
OBC ,Civil Engineering,2022,87.91,JSPM's Imperial College of Engineering and Research Wagholi Pune
OPEN,Civil Engineering,2022,90.47,JSPM's Imperial College of Engineering and Research Wagholi Pune
NT 1 (NT-B) ,Civil Engineering,2022,85.4,JSPM's Imperial College of Engineering and Research Wagholi Pune
NT 2 (NT-C) ,Civil Engineering,2022,83.55,JSPM's Imperial College of Engineering and Research Wagholi Pune
NT 2 (NT-C) ,Civil Engineering,2022,83.55,JSPM's Imperial College of Engineering and Research Wagholi Pune
OBC ,Civil Engineering,2022,87.91,JSPM's Imperial College of Engineering and Research Wagholi Pune
OBC,Civil Engineering,2022,87.91,JSPM's Imperial College of Engineering and Research Wagholi Pune
OPEN,Civil Engineering,2022,90.47,JSPM's Imperial College of Engineering and Research Wagholi Pune
SC,Civil Engineering,2022,75.22,JSPM's Imperial College of Engineering and Research Wagholi Pune
OBC ,Civil Engineering,2022,87.91,JSPM's Imperial College of Engineering and Research Wagholi Pune
OBC,Civil Engineering,2022,87.91,JSPM's Imperial College of Engineering and Research Wagholi Pune
SC,Civil Engineering,2022,75.22,JSPM's Imperial College of Engineering and Research Wagholi Pune
OPEN,Civil Engineering,2022,90.47,JSPM's Imperial College of Engineering and Research Wagholi Pune
OBC,Civil Engineering,2022,87.91,JSPM's Imperial College of Engineering and Research Wagholi Pune
OBC,Civil Engineering,2022,87.91,JSPM's Imperial College of Engineering and Research Wagholi Pune
NT 3 (NT-D),Civil Engineering,2022,80.45,JSPM's Imperial College of Engineering and Research Wagholi Pune
OPEN,Civil Engineering,2022,90.47,JSPM's Imperial College of Engineering and Research Wagholi Pune
OBC,Civil Engineering,2022,87.91,JSPM's Imperial College of Engineering and Research Wagholi Pune
OBC,Civil Engineering,2022,87.91,JSPM's Imperial College of Engineering and Research Wagholi Pune
OPEN,Civil Engineering,2022,90.47,JSPM's Imperial College of Engineering and Research Wagholi Pune
OPEN,Civil Engineering,2022,90.47,JSPM's Imperial College of Engineering and Research Wagholi Pune
SC,Civil Engineering,2022,75.22,JSPM's Imperial College of Engineering and Research Wagholi Pune
OBC,Civil Engineering,2022,87.91,JSPM's Imperial College of Engineering and Research Wagholi Pune
OPEN,Civil Engineering,2022,90.47,JSPM's Imperial College of Engineering and Research Wagholi Pune
