Category,department,Year,MHT_CET_Percentile,Collage_name
OPEN,Civil Engineering,2022,98.08,College of Engineering Pune (COEP)Shivajinagar Pune
OBC,Civil Engineering,2022,97.46,College of Engineering Pune (COEP)Shivajinagar Pune
SC,Civil Engineering,2022,92.55,College of Engineering Pune (COEP)Shivajinagar Pune
ST,Civil Engineering,2022,81.4,College of Engineering Pune (COEP)Shivajinagar Pune
NT,Civil Engineering,2022,97.97,College of Engineering Pune (COEP)Shivajinagar Pune
VJNT,Civil Engineering,2022,92.81,College of Engineering Pune (COEP)Shivajinagar Pune 
EWS,Civil Engineering,2022,97.87,College of Engineering Pune (COEP)Shivajinagar Pune
TFWS,Civil Engineering,2022,98.26,College of Engineering Pune (COEP)Shivajinagar Pune
OPEN,Computer Engineering,2022,99.91,College of Engineering Pune (COEP)Shivajinagar Pune
OBC,Computer Engineering,2022,99.82,College of Engineering Pune (COEP)Shivajinagar Pune
SC,Computer Engineering,2022,99.3,College of Engineering Pune (COEP)Shivajinagar Pune
ST,Computer Engineering,2022,96.49,College of Engineering Pune (COEP)Shivajinagar Pune
NT,Computer Engineering,2022,99.8,College of Engineering Pune (COEP)Shivajinagar Pune
VJNT,Computer Engineering,2022,99.34,College of Engineering Pune (COEP)Shivajinagar Pune
EWS,Computer Engineering,2022,99.77,College of Engineering Pune (COEP)Shivajinagar Pune
TFWS,Computer Engineering,2022,99.91,College of Engineering Pune (COEP)Shivajinagar Pune
OPEN,Electronics and TeleCommunication Engineering,2022,99.7,College of Engineering Pune (COEP)Shivajinagar Pune
OBC,Electronics and TeleCommunication Engineering,2022,99.52,College of Engineering Pune (COEP)Shivajinagar Pune
SC,Electronics and TeleCommunication Engineering,2022,98.34,College of Engineering Pune (COEP)Shivajinagar Pune
ST,Electronics and TeleCommunication Engineering,2022,94.65,College of Engineering Pune (COEP)Shivajinagar Pune
NT,Electronics and TeleCommunication Engineering,2022,99.16,College of Engineering Pune (COEP)Shivajinagar Pune
VJNT,Electronics and TeleCommunication Engineering,2022,98.78,College of Engineering Pune (COEP)Shivajinagar Pune
EWS,Electronics and TeleCommunication Engineering,2022,99.42,College of Engineering Pune (COEP)Shivajinagar Pune
TFWS,Electronics and TeleCommunication Engineering,2022,99.6,College of Engineering Pune (COEP)Shivajinagar Pune
OPEN,Mechanical Engineering,2022,98.85,College of Engineering Pune (COEP)Shivajinagar Pune
OBC,Mechanical Engineering,2022,98.15,College of Engineering Pune (COEP)Shivajinagar Pune
SC,Mechanical Engineering,2022,94.51,College of Engineering Pune (COEP)Shivajinagar Pune
ST,Mechanical Engineering,2022,85.29,College of Engineering Pune (COEP)Shivajinagar Pune
NT,Mechanical Engineering,2022,98.34,College of Engineering Pune (COEP)Shivajinagar Pune
VJNT,Mechanical Engineering,2022,95.33,College of Engineering Pune (COEP)Shivajinagar Pune
EWS,Mechanical Engineering,2022,98.07,College of Engineering Pune (COEP)Shivajinagar Pune
TFWS,Mechanical Engineering,2022,98.62,College of Engineering Pune (COEP)Shivajinagar Pune
OPEN,Civil Engineering,2022,42.3,The Shetkari Shikshan Mandal Sangli's Pd. Vasantdada Patil Institute of Technology Bavdhan Pune. (S. V. No. 33/22 Bavdhan(Khurd) Near Chadani Chwok)
EWS,Civil Engineering,2022,27.5,The Shetkari Shikshan Mandal Sangli's Pd. Vasantdada Patil Institute of Technology Bavdhan Pune. (S. V. No. 33/22 Bavdhan(Khurd) Near Chadani Chwok)
OPEN,Computer Engineering,2022,88.79,The Shetkari Shikshan Mandal Sangli's Pd. Vasantdada Patil Institute of Technology Bavdhan Pune. (S. V. No. 33/22 Bavdhan(Khurd) Near Chadani Chwok)
OBC,Computer Engineering,2022,87.65,The Shetkari Shikshan Mandal Sangli's Pd. Vasantdada Patil Institute of Technology Bavdhan Pune. (S. V. No. 33/22 Bavdhan(Khurd) Near Chadani Chwok)
SC,Computer Engineering,2022,77.08,The Shetkari Shikshan Mandal Sangli's Pd. Vasantdada Patil Institute of Technology Bavdhan Pune. (S. V. No. 33/22 Bavdhan(Khurd) Near Chadani Chwok)
ST,Computer Engineering,2022,45.91,The Shetkari Shikshan Mandal Sangli's Pd. Vasantdada Patil Institute of Technology Bavdhan Pune. (S. V. No. 33/22 Bavdhan(Khurd) Near Chadani Chwok)
NT,Computer Engineering,2022,87.89,The Shetkari Shikshan Mandal Sangli's Pd. Vasantdada Patil Institute of Technology Bavdhan Pune. (S. V. No. 33/22 Bavdhan(Khurd) Near Chadani Chwok)
VJNT,Computer Engineering,2022,67.97,The Shetkari Shikshan Mandal Sangli's Pd. Vasantdada Patil Institute of Technology Bavdhan Pune. (S. V. No. 33/22 Bavdhan(Khurd) Near Chadani Chwok)
EWS,Computer Engineering,2022,89.95,The Shetkari Shikshan Mandal Sangli's Pd. Vasantdada Patil Institute of Technology Bavdhan Pune. (S. V. No. 33/22 Bavdhan(Khurd) Near Chadani Chwok)
TFWS,Computer Engineering,2022,92.47,The Shetkari Shikshan Mandal Sangli's Pd. Vasantdada Patil Institute of Technology Bavdhan Pune. (S. V. No. 33/22 Bavdhan(Khurd) Near Chadani Chwok)
OPEN,Electronics and TeleCommunication Engineering,2022,74.17,The Shetkari Shikshan Mandal Sangli's Pd. Vasantdada Patil Institute of Technology Bavdhan Pune. (S. V. No. 33/22 Bavdhan(Khurd) Near Chadani Chwok)
OBC,Electronics and TeleCommunication Engineering,2022,71.23,The Shetkari Shikshan Mandal Sangli's Pd. Vasantdada Patil Institute of Technology Bavdhan Pune. (S. V. No. 33/22 Bavdhan(Khurd) Near Chadani Chwok)
SC,Electronics and TeleCommunication Engineering,2022,25.79,The Shetkari Shikshan Mandal Sangli's Pd. Vasantdada Patil Institute of Technology Bavdhan Pune. (S. V. No. 33/22 Bavdhan(Khurd) Near Chadani Chwok)
NT,Electronics and TeleCommunication Engineering,2022,66.81,The Shetkari Shikshan Mandal Sangli's Pd. Vasantdada Patil Institute of Technology Bavdhan Pune. (S. V. No. 33/22 Bavdhan(Khurd) Near Chadani Chwok)
VJNT,Electronics and TeleCommunication Engineering,2022,23.48,The Shetkari Shikshan Mandal Sangli's Pd. Vasantdada Patil Institute of Technology Bavdhan Pune. (S. V. No. 33/22 Bavdhan(Khurd) Near Chadani Chwok)
EWS,Electronics and TeleCommunication Engineering,2022,78.28,The Shetkari Shikshan Mandal Sangli's Pd. Vasantdada Patil Institute of Technology Bavdhan Pune. (S. V. No. 33/22 Bavdhan(Khurd) Near Chadani Chwok)
TFWS,Electronics and TeleCommunication Engineering,2022,85.69,The Shetkari Shikshan Mandal Sangli's Pd. Vasantdada Patil Institute of Technology Bavdhan Pune. (S. V. No. 33/22 Bavdhan(Khurd) Near Chadani Chwok)
OPEN,Mechanical Engineering,2022,28.56,The Shetkari Shikshan Mandal Sangli's Pd. Vasantdada Patil Institute of Technology Bavdhan Pune. (S. V. No. 33/22 Bavdhan(Khurd) Near Chadani Chwok)
EWS,Mechanical Engineering,2022,17.83,The Shetkari Shikshan Mandal Sangli's Pd. Vasantdada Patil Institute of Technology Bavdhan Pune. (S. V. No. 33/22 Bavdhan(Khurd) Near Chadani Chwok)
OPEN,Civil Engineering,2022,85.4,Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering Wagholi Pune.- (Gate No. 2181 At Wagholi Tal. Haveli PIN 412102)
OPEN,Computer Engineering,2022,79.53,Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering Wagholi Pune.- (Gate No. 2181 At Wagholi Tal. Haveli PIN 412102)
OBC,Computer Engineering,2022,78.05,Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering Wagholi Pune.- (Gate No. 2181 At Wagholi Tal. Haveli PIN 412102)
SC,Computer Engineering,2022,61.9,Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering Wagholi Pune.- (Gate No. 2181 At Wagholi Tal. Haveli PIN 412102)
NT,Computer Engineering,2022,79.28,Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering Wagholi Pune.- (Gate No. 2181 At Wagholi Tal. Haveli PIN 412102)
VJNT,Computer Engineering,2022,60.05,Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering Wagholi Pune.- (Gate No. 2181 At Wagholi Tal. Haveli PIN 412102)
EWS,Computer Engineering,2022,80.53,Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering Wagholi Pune.- (Gate No. 2181 At Wagholi Tal. Haveli PIN 412102)
TFWS,Computer Engineering,2022,86.31,Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering Wagholi Pune.- (Gate No. 2181 At Wagholi Tal. Haveli PIN 412102)
OPEN,Information Technology,2022,75.78,Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering Wagholi Pune.- (Gate No. 2181 At Wagholi Tal. Haveli PIN 412102)
OBC,Information Technology,2022,74.2,Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering Wagholi Pune.- (Gate No. 2181 At Wagholi Tal. Haveli PIN 412102)
SC,Information Technology,2022,51.26,Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering Wagholi Pune.- (Gate No. 2181 At Wagholi Tal. Haveli PIN 412102)
NT,Information Technology,2022,72.7,Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering Wagholi Pune.- (Gate No. 2181 At Wagholi Tal. Haveli PIN 412102)
VJNT,Information Technology,2022,33.08,Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering Wagholi Pune.- (Gate No. 2181 At Wagholi Tal. Haveli PIN 412102)
EWS,Information Technology,2022,78.66,Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering Wagholi Pune.- (Gate No. 2181 At Wagholi Tal. Haveli PIN 412102)
TFWS,Information Technology,2022,85.59,Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering Wagholi Pune.- (Gate No. 2181 At Wagholi Tal. Haveli PIN 412102)
OPEN,Electronics and TeleCommunication Engineering,2022,62.39,Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering Wagholi Pune.- (Gate No. 2181 At Wagholi Tal. Haveli PIN 412102)
OBC,Electronics and TeleCommunication Engineering,2022,58.8,Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering Wagholi Pune.- (Gate No. 2181 At Wagholi Tal. Haveli PIN 412102)
SC,Electronics and TeleCommunication Engineering,2022,10.05,Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering Wagholi Pune.- (Gate No. 2181 At Wagholi Tal. Haveli PIN 412102)
NT,Electronics and TeleCommunication Engineering,2022,57.21,Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering Wagholi Pune.- (Gate No. 2181 At Wagholi Tal. Haveli PIN 412102)
VJNT,Electronics and TeleCommunication Engineering,2022,25.79,Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering Wagholi Pune.- (Gate No. 2181 At Wagholi Tal. Haveli PIN 412102)
EWS,Electronics and TeleCommunication Engineering,2022,66.81,Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering Wagholi Pune.- (Gate No. 2181 At Wagholi Tal. Haveli PIN 412102)
TFWS,Electronics and TeleCommunication Engineering,2022,74.22,Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering Wagholi Pune.- (Gate No. 2181 At Wagholi Tal. Haveli PIN 412102)
OPEN,Mechanical Engineering,2022,7.07,Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering Wagholi Pune.- (Gate No. 2181 At Wagholi Tal. Haveli PIN 412102)
EWS,Mechanical Engineering,2022,6.82,Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering Wagholi Pune.- (Gate No. 2181 At Wagholi Tal. Haveli PIN 412102)
OPEN,Civil Engineering,2022,26.9,Jaywant Shikshan Prasarak Mandal'sRajarshi Shahu College of Engineering Tathawade Pune (S. No. 80 Pune-Mumbai Bypass Highway Tathawade Pune  33.) Pune
OBC,Civil Engineering,2022,32.8,Jaywant Shikshan Prasarak Mandal'sRajarshi Shahu College of Engineering Tathawade Pune (S. No. 80 Pune-Mumbai Bypass Highway Tathawade Pune  33.) Pune
SC,Civil Engineering,2022,8.59,Jaywant Shikshan Prasarak Mandal'sRajarshi Shahu College of Engineering Tathawade Pune (S. No. 80 Pune-Mumbai Bypass Highway Tathawade Pune  33.) Pune
NT,Civil Engineering,2022,19.1,Jaywant Shikshan Prasarak Mandal'sRajarshi Shahu College of Engineering Tathawade Pune (S. No. 80 Pune-Mumbai Bypass Highway Tathawade Pune  33.) Pune
VJNT,Civil Engineering,2022,12.6,Jaywant Shikshan Prasarak Mandal'sRajarshi Shahu College of Engineering Tathawade Pune (S. No. 80 Pune-Mumbai Bypass Highway Tathawade Pune  33.) Pune
EWS,Civil Engineering,2022,48.93,Jaywant Shikshan Prasarak Mandal'sRajarshi Shahu College of Engineering Tathawade Pune (S. No. 80 Pune-Mumbai Bypass Highway Tathawade Pune  33.) Pune
TFWS,Civil Engineering,2022,71.12,Jaywant Shikshan Prasarak Mandal'sRajarshi Shahu College of Engineering Tathawade Pune (S. No. 80 Pune-Mumbai Bypass Highway Tathawade Pune  33.) Pune
OPEN,Computer Engineering,2022,96.15,Jaywant Shikshan Prasarak Mandal'sRajarshi Shahu College of Engineering Tathawade Pune (S. No. 80 Pune-Mumbai Bypass Highway Tathawade Pune  33.) Pune
